,Pylint for Stack Overflow,Radon for Stack Overflow,Flesch for Stack Overflow,Pylint for Chatgpt,Radon for Chatgpt,Flesch for Chatgpt
0,4.81,3.6666666666666665,56.913333333333355,6.0,5.0,59.68808403361345
1,7.43,2.6666666666666665,59.61635398230091,6.0,1.0,45.76591150442479
2,5.0,4.0,39.26538461538463,7.5,4.5,57.3717432950192
3,0.0,2.3333333333333335,72.67022231543628,0.0,6.0,73.7559090909091
4,0.0,1.0,55.11410919540232,0.0,7.0,48.730060240963894
5,5.78,2.8,42.223181818181814,8.12,2.8,64.49642592592593
6,7.59,5.0,48.03783912556054,6.0,3.0,63.400616438356195
7,0.0,6.5,32.20379310344828,3.89,2.0,36.05080357142859
8,7.55,4.6,60.0,5.56,4.5,51.48940217391305
9,0.0,2.25,33.7141087278107,3.33,3.0,60.107564102564126
10,6.0,1.0,60.0,9.0,4.0,51.980389992641676
11,4.24,4.25,59.28750299043064,6.0,5.0,48.402323529411774
12,5.0,16.5,57.41489830508475,3.75,4.0,49.04018856447692
13,2.92,5.0,60.0,1.54,2.0,71.41982142857145
14,0.0,4.0,60.0,5.62,1.0,60.0
15,1.98,4.0,58.21624031007754,6.67,2.0,58.353521505376364
16,7.14,7.0,60.0,7.73,1.0,57.24564847161574
17,0.0,1.0,77.21088579136692,5.71,3.0,76.89226588628766
18,8.55,4.5,64.14426952580197,6.0,1.0,43.02940217391307
19,2.63,2.0,60.0,5.0,1.0,43.92865942028985
20,2.36,2.6666666666666665,63.59570754716982,4.62,9.0,62.52069328297817
21,7.67,6.875,68.9825,0.0,19.0,62.761363636363654
22,0.0,7.0,60.0,6.0,5.0,53.37896153846157
23,2.5,5.0,56.00398009950251,8.28,13.0,71.18418689320391
24,6.41,3.25,54.30635983263599,4.74,2.5,50.8552361612515
25,5.0,9.0,50.96500000000002,6.0,5.0,66.16995664739886
26,2.5,5.0,60.0,0.0,1.0,43.84857142857143
27,8.5,7.0,60.0,7.56,4.666666666666667,55.58352601156069
28,6.86,10.0,14.906315789473723,6.0,5.0,51.79776892430279
29,2.27,4.5,60.0,6.0,2.0,67.50825210084034
